timestamp,node_id,soil_pct,payload_bytes,rtt_cloud_ms,jitter_ms,cpu_percent,ram_percent
1772113527.7300596,node1,100,51,134.0718,3.6089,0.0,3.7
1772113536.8288176,node1,100,51,134.8455,0.7737,0.1,3.7
1772113547.596895,node1,100,51,138.4408,3.5954,0.0,3.7
1772113549.7954507,node2,100,51,134.3942,0.2031,0.0,3.7
1772113556.8070436,node1,100,51,133.5878,4.853,0.0,3.7
1772113561.9199011,node2,100,51,134.1023,0.2918,0.0,3.7
1772113565.7604887,node1,100,51,134.275,0.6871,0.0,3.7
1772113574.3288999,node1,100,51,134.1622,0.1128,0.0,3.7
1772113584.7219424,node1,100,51,134.0349,0.1273,0.0,3.7
1772113586.5847342,node2,100,51,134.4554,0.3531,0.0,3.7
1772113592.7445638,node1,100,51,134.1951,0.1602,0.0,3.7
1772113599.5461063,node2,100,51,134.2149,0.2406,0.0,3.7
1772113610.7177048,node1,100,51,134.8407,0.6456,0.0,3.7
1772113611.9194558,node2,100,50,134.0063,0.2086,0.0,3.7
1772113620.414077,node1,100,51,134.1395,0.7012,0.0,3.7
1772113625.227564,node2,100,51,134.187,0.1807,0.0,3.7
1772113630.4885128,node1,100,51,134.7077,0.5682,0.0,3.7
1772113637.772799,node2,100,51,134.2866,0.0997,0.0,3.7
1772113639.4383097,node1,100,51,133.5394,1.1683,0.0,3.8
1772113647.8463938,node1,100,51,134.191,0.6516,0.0,3.7
1772113651.5466566,node2,100,51,134.0699,0.2167,0.0,3.7
1772113658.145252,node1,100,51,133.3649,0.8261,0.0,3.7
1772113664.581264,node2,100,51,134.1608,0.0908,0.0,3.7
1772113667.2733204,node1,100,51,133.533,0.1681,0.0,3.7
1772113676.08219,node2,100,50,134.2187,0.0579,0.0,3.7
1772113676.525995,node1,100,51,134.3622,0.8292,0.0,3.7
1772113686.5530884,node1,100,51,134.5737,0.2115,0.0,3.7
1772113688.6190088,node2,100,50,134.3961,0.1774,0.0,3.7
1772113695.956136,node1,100,51,134.3086,0.2651,0.0,3.7
1772113700.2564034,node2,100,51,139.0038,4.6077,0.0,3.7
1772113706.592875,node1,100,51,134.8829,0.5744,0.0,3.7
1772113714.0871623,node2,100,51,134.1891,4.8146,0.0,3.7
1772113715.3045266,node1,100,51,134.1367,0.7463,0.0,3.7
1772113724.3328502,node1,100,51,160.3777,26.2411,0.0,3.7
